address,spx
0xc56325dfdf50483b67ca31a377fb09a3129a9c89,69.76919154
0x018d95a786da83066d827b56340f3ec87d65814b,69.52425975
0xb8c6e04b6eb46a2401987ea3a96baf8e48f8ef4d,21.17129592
0x1972560d3c113924df93dd2ac84bac702ff5e498,20.85295431
0xe71ec87ada55dffe6be4cf664b33e767de8a2c91,20.08959073
0x7e10af6fd9766386262287ec7751df5259820995,14
0x5551935319cd516e455542ed76f5cd1707a741d3,7.44736604
0x09009cfe4d4ed1d015c5a2e5a02c32739c2c38e0,7.43809769
0xd8cd18407be1a6b0be6e6484ca99b6da31e98161,6.84054283
0x88be4255a620bec5f9cf77880eb40c1dc8e2b628,6.09757169
0x3686985d325ad62e8dd125bc8e416620bf6db1df,3.73606533
0x43bb2d8317c3accbb2760ab22d67a701f24c2eef,3.65389427
0x02c2e025b219976c85b70a2e0cf110c97930e8c9,2
0x186228b9bf24fd2b7e81bea04b5a35ecac0f5d02,1.72362207
0xcff5de8bf37966a9942e4337a8e1d06921cf4be9,1.31162034
0xf42c3258931c3cc68a7b73967bfb88e3ebcc37dc,1.30689005
0xda338706c5bb964507d49278a57e0be19a59b16e,1.02345347
